id,name,area,url,image,description,Address,Hours,Closed,Fees,Website
spot-1-eng,Tojinbo Cliffs,Sakai,https://enjoy.pref.fukui.lg.jp/en/spot/spot-1/,https://images.ctfassets.net/28myztxqgnfy/154/b2b087839145afd5392618e9b5e6d586/img_spot_001_01.jpg?q=30,"The Tojinbo Cliffs are a kilometer-long stretch of the coastline. Visitors can walk around and climb on these rocky cliffs, and take sightseeing boat rides.","Anto, Mikuni-cho, Sakai City",Anytime,Open 7 days a week,Charge-free,
spot-2-eng,Kehi no Matsubara,Nishu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-2/,https://images.ctfassets.net/28myztxqgnfy/157/0dfdefb5f940b166fbe076789d358b50/img_spot_002_01.jpg?q=30,"Kehi no Matsubara is a 1.5-kilometer-long beach with Japanese red and black pine trees. Each August, this popular swimming beach hosts a fireworks show.","Matsushima-cho, Tsuruga City",Anytime,Open 7 days a week,Charge-free,
spot-3-eng,The Five Lakes of Mikata,Nishu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-3/,https://images.ctfassets.net/28myztxqgnfy/160/4b2792ca11d79733953ba65eaeff23a0/img_spot_003_01.jpg?q=30,"The Five Lakes of Mikata are all clustered together into a small area. Each one is a different color, due to their different depths and levels of salt.","Mihama town and Wakasa town, Mikatakaminaka-gun",Anytime,Open 7 days a week,Charge-free,
spot-4-eng,Uriwari no Taki Falls,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-4/,https://images.ctfassets.net/28myztxqgnfy/163/9a18d4ae6705fe482bf9f97682fe3c5d/img_spot_004_01.jpg?q=30,Uriwari no Taki Falls is fed by a natural spring known for cold water all year round. Its delicious spring water has earned recognition in a national competition.,"37-1-3 Tentokuji, Wakasa town, Mikatakaminaka-gun",Free to visit,Open 7 days a week,Charge-free (¥300 for visitors who take the water home),
spot-5-eng,Ichijo Falls,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-5/,https://images.ctfassets.net/28myztxqgnfy/166/d306090b59f74423463c8f5168c3ec5e/img_spot_005_01.jpg?q=30,"Ichijo Falls is a 12-meter-tall waterfall near the Ichijodani Asakura Clan Ruins, surrounded by vivid red leaves in autumn. According to legend, the famous swordsman Sasaki Kojiro trained here.","Joukyouji-cho, Fukui City",Anytime,Open 7 days a week,Charge-free,
spot-6-eng,Kochomon,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-6/,https://images.ctfassets.net/28myztxqgnfy/169/31cd017085fc38bf1a4a0f8bda3b5969/img_spot_006_01.jpg?q=30,Kochomon is a natural cave formation on the Echizen coastline. Visitors can walk right up to this natural rock tunnel.,"Nashigadaira, Echizen town, Nyu-gun",Anytime,Open 7 days a week,Charge-free,
spot-7-eng,Rainbow Line Summit Park,Nishu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-7/,https://images.ctfassets.net/28myztxqgnfy/172/8e99a945f94fe80b5b1b8e90a23067b7/img_spot_007_01.jpg?q=30,The Rainbow Line Summit Park is an 11-kilometer toll road that runs through the mountains around the Five Lakes of Mikata. It offers a view of all five lakes at once.,Mihama town and Wakasa town,(Oct. to April) 8:00 to 18:00 / (May to July 20 / Sept.) 7:00 to 19:00 / (July 21 to August 31) 6:00 to 20:00,Year End & New Year’s holidays,"* Highway toll ¥1,040 (standard size cars) / ¥2,500 (minibuses) /¥4,000 (large-sized buses & large motor trucks) /¥730 (motorbikes except motorcycles)
* Mountaintop park ¥800 (including lift and cable car charges)",http://www.mikatagoko.com/eng/
spot-8-eng,Sotomo,Wakasa,https://enjoy.pref.fukui.lg.jp/en/spot/spot-8/,https://images.ctfassets.net/28myztxqgnfy/175/e8280bf2e7bebfaaaf42a07f2f16835a/img_spot_008_01.jpg?q=30,"Sotomo is a scenic six-kilometer stretch of coastline, on a peninsula between Obama Bay and Wakasa Bay. Visitors can see it from pleasure boats.","Uchitomi Peninsula, Obama City",9:30 to 15:30 (no cruiser operation from Dec. to Feb.),no cruiser operation from Dec. to Feb.,"¥2,000 (adults) / ¥1,000 (children)",https://www.wakasa-fishermans.com/
spot-9-eng,Eiheiji,Fukui,https://enjoy.pref.fukui.lg.jp/en/spot/spot-9/,https://images.ctfassets.net/28myztxqgnfy/603/7ea9e9d942ded7cdb4917ca0ed1437ba/img_spot_009_01.jpg?q=30,Eiheiji is one of the head temples of the Soto school of Zen Buddhism. Monks come to practice at this temple from all around Japan.,"5-15 Shihi, Eiheiji town, Yoshida-gun","8:30 to 16:30(Entrance gate closes at 16:00.)
※The hours may vary according to the monastic schedule.",Open all year round EXCEPT January 1st.,¥500 (adults) /¥200 (elementary and junior high school students) / free (seven years old or under),https://daihonzan-eiheiji.com/en/
spot-10-eng,Echizen Great Buddha,Okuetsu,https://enjoy.pref.fukui.lg.jp/en/spot/spot-10/,https://images.ctfassets.net/28myztxqgnfy/178/d34637149062d5e030ca51710ad8d4b7/img_spot_010_01.jpg?q=30,Seidaiji Temple is home to one of the world’s largest seated Buddha statues. The temple's five-tiered pagoda offers a view of the area from the top.,"50-1-1 Katase-cho, Katsuyama City",8:00 to 17:00 (subject to change during winter season),Open 7 days a week (temporarily closed during winter season),¥500 (adults) / ¥300 (minors under 18),http://etizendaibutsu.com/
spot-11-eng,Ryusogataki Falls,Tannan,https://enjoy.pref.fukui.lg.jp/en/spot/spot-11/,https://images.ctfassets.net/28myztxqgnfy/181/143d89883d63167763545582bed856ab/img_spot_011_01.jpg?q=30,Ryusogataki Falls is located in the mountains of Ikeda. It was selected as one of Japan’s 100 finest waterfalls by a specialist organization.,"Ohmoto, Ikeda town, Imadate-gun",Anytime,Winter (late November to end of March),Charge-free,
